189.143,189.143,313.086,379.596,67.5357,75.7674,6231.42,6493.53,54.4735,63.8587,0.899893,1.04039,42.0003,48.7597,267.742,71.6516,2149.79,32356,1
0,0,409.69,498.532,193.964,227.837,5421.65,5101.76,39.2597,42.4862,0.980001,1.07384,38.5775,40.303,227.055,210.901,1775.89,32275.1,0
0,0,485.638,583.851,122.607,129.047,4419.77,4167.11,43.3767,46.8018,1.65302,1.71963,46.3665,48.4253,267.372,125.827,1458.32,32173.7,0
0,0,159.879,193.404,18.7857,19.1628,5976.77,5001.96,32.9338,31.226,0.552811,0.594045,34.7772,33.9913,88.3209,18.9743,1846.8,32170.5,0
6.64286,4,278.759,346.213,195.536,228.163,3728.49,4200.5,23.0458,24.6801,0.695237,0.806971,24.0999,26.5531,158.904,211.849,1334.28,32139.9,0
0,0,176.759,212.809,80.7143,86.3488,4504.35,4183.27,32.1158,32.6082,0.817454,0.90676,30.9272,32.4803,97.3918,83.5316,1465.34,32121,0
0,0,426.615,503.045,191.583,238.696,76.6017,80.6495,31.515,31.9784,1.40724,1.43827,42.9388,47.6157,232.415,215.139,49.8591,31768.7,0
0,0,316.615,375.295,175.333,228.152,113.998,123.653,45.7796,47.9166,1.37898,1.39407,45.4196,48.5905,172.978,201.743,67.9512,31752.2,0
247.389,247.389,165.75,196.75,92.2778,132.543,175.12,206.683,64.6505,76.7375,1.54671,1.69072,76.9837,97.3565,214.319,112.411,111.225,31755,1
0,0,655.192,759.909,62.6111,97.5652,1.29176,1.38075,2.95772,3.52698,0.193011,0.224559,1.5192,1.78546,353.775,80.0882,2.04189,31750.9,0
0.444444,0,389.827,448.773,141.139,207.826,39.7275,44.3472,16.5799,17.5797,0.619975,0.660605,20.1059,22.9303,209.761,174.482,25.798,31739.5,0
0,0,561.481,659.477,67.3056,110.413,3.1274,3.55862,3.31815,3.97068,0.186802,0.217826,2.16108,2.78347,305.24,88.8593,3.06478,31737.8,0
0,0,282.139,281.417,248.929,247.396,64.319,78.9211,18.0119,18.973,0.763789,1.04589,15.053,16.7004,140.889,248.162,34.4133,31746.7,0
0,0,265.556,266.556,81.3571,102.354,342.223,625.164,31.8709,40.3341,0.628984,0.913737,34.6879,47.6503,133.028,91.8557,180.999,31725.7,0
4.78571,4.78571,380.333,380.333,123.679,111.396,69.5622,84.2854,12.5664,13.7378,0.313819,0.419991,13.667,15.0937,192.56,117.537,33.7459,31723.7,0
0,0,74.9444,75.0833,249.214,223.812,95.7262,143.865,16.7682,19.5545,0.453076,0.624752,12.8364,15.4655,37.5069,236.513,49.1584,31717,0
0,0,370.306,370.306,96.3571,135.271,33.8024,43.0002,9.30652,11.559,0.103575,0.167537,4.27421,5.16001,185.153,115.814,17.2657,31712.8,0
0,0,350.111,350.111,102.5,124.771,24.8959,29.9744,4.3295,4.83142,0.0574206,0.0818338,4.07725,4.87439,175.056,113.635,11.7464,31706.8,0
